Ag(111)-sqrt3xsqrt3-Sb data first run
   1    0   0.200     3.67     0.42      0
   1    0   0.400     3.04     0.51      0
   1    0   0.600     3.42     0.53      0
   1    0   0.800     3.65     0.60      0
   1    0   1.005     3.25     0.62      0
   1    0   1.200     3.19     0.68      0
   1    0   1.400     2.13     0.91      0
   1    0   1.600     1        5         0
   1    0   1.800     1        5         0
   1    0   2.005     6.18     0.85      0
   1    0   2.200     5.30     0.89      0
   1    0   2.400     5.52     0.91      0
   1    0   2.600     4.14     1.02      0
   1    1  -2.600    64.13     6.42      2
   1    1  -2.500    69.08     6.92      2
   1    1  -2.400    72.67     7.28      2
   1    1  -2.300    77.81     7.79      2
   1    1  -2.200    81.48     8.16      2
   1    1  -2.050    90.52     9.06      2
   1    1  -1.700   114.09    11.41      2
   1    1  -1.500   133.15    13.32      2
   1    1  -1.400   157.08    15.71      2
   1    1  -1.300   171.53    17.16      2
   1    1  -1.200   273.63    27.37      2
   1    1  -0.900   250.59    25.06      2
   1    1  -0.800   149.52    14.96      2
   1    1  -0.700    96.07     9.62      2
   1    1  -0.600    82.07     8.21      2
   1    1  -0.500    75.89     7.60      2
   1    1  -0.400    80.05     8.01      2
   1    1  -0.300    78.38     7.85      2
   1    1  -0.200    92.03     9.21      2
   1    1   0.200    87.75     8.78      2
   1    1   0.300    84.85     8.49      2
   1    1   0.400    81.40     8.15      2
   1    1   0.500    87.63     8.77      2
   1    1   0.600    92.58     9.26      2
   1    1   0.700    93.41     9.34      2
   1    1   0.800    94.27     9.43      2
   1    1   0.900   101.10    10.11      2
   1    1   0.980   109.64    10.97      2
   1    1   1.100   106.93    10.70      2
   1    1   1.200   111.40    11.14      2
   1    1   1.300   114.04    11.41      2
   1    1   1.400   122.95    12.30      2
   1    1   1.500   130.02    13.00      2
   1    1   1.700   167.88    16.79      2
   1    1   1.800   214.97    21.50      2
   1    1   2.200   163.97    16.40      2
   1    1   2.300   104.37    10.45      2
   1    1   2.400    86.36     8.65      2
   1    1   2.500    79.49     7.96      2
   1    1   2.600    75.92     7.60      2
   2    0   0.200     5.15     1.11      0
   2    1  -0.200     7.20     1.61      1
   2    1   0.200     5.64     1.82      1
   2    2  -2.500    42.88     4.57      1
   2    2  -2.300    82.99     8.41      1
   2    2  -1.900   228.28    30         1
   2    2  -1.700   100.11    10.08      1
   2    2  -1.500    79.67     8.04      1
   2    2  -1.300    74.57     7.52      1
   2    2  -1.100    72.75     7.33      1
   2    2  -0.900    68.16     6.87      1
   2    2  -0.700    66.83     6.74      1
   2    2  -0.500    64.02     6.45      1
   2    2  -0.300    62.05     6.26      1
   2    2  -0.200    64.77     6.51      1
   2    2   0.200    54.92     5.56      1
   2    2   0.300    56.89     5.75      1
   2    2   0.500    57.65     5.87      1
   2    2   0.700    73.93     7.51      1
   2    2   1.300   162.97    16.33      1
   2    2   1.500   108.48    10.90      1
   2    2   1.700    89.73     9.02      1
   2    2   1.900    79.34     7.99      1
   2    2   2.100    68.55     6.92      1
   2    2   2.300    63.29     6.39      1
   2    2   2.500    54.74     5.56      1
   3    0   0.400    74.32     7.50      0
   3    0   0.500    53.35     5.39      0
   3    0   0.600    43.29     4.48      0
   3    0   0.700    36.72     3.78      0
   3    0   0.800    33.17     3.53      0
   3    0   0.900    30.46     3.30      0
   3    0   1.100    27.44     3.03      0
   3    0   1.300    27.16     2.99      0
   3    0   1.500    30.91     3.29      0
   3    0   1.700    33.57     3.54      0
   3    0   1.900    39.03     4.03      0
   3    0   2.100    46.96     4.80      0
   3    0   2.300    54.72     5.56      0
   3    1   0.200    12.11     1.88      0
   4    0   0.200    10.71     1.97      0
   4    1  -0.200    43.68     4.47      2
   4    1   0.200    45.44     4.62      2
